"id","Protein_ID","norm_rel_fc_127N_Control","norm_rel_fc_128N_Control","norm_rel_fc_129N_Control","norm_rel_fc_130N_Control","norm_rel_fc_131N_Control","norm_rel_fc_127C_Control","norm_rel_fc_128C_Control","norm_rel_fc_129C_Control","norm_rel_fc_130C_Control","norm_rel_fc_131C_Control","a_Control","b_Control","meltPoint_Control","inflPoint_Control","slope_Control","plateau_Control","R_sq_Control","diff_meltP_RNase_vs_Control","min_slope_RNase_vs_Control","pVal_adj_RNase_vs_Control","passed_filter_RNase_vs_Control","protein_identified_in_Control","model_converged_Control","sufficient_data_for_fit_Control","qupm_Control","qssm_Control","count","mean_dist","p_value","p_adj"
"(E.F.G) complex","SNRPG",0.998436795780268,1.01731901044021,1.43449153801994,1.00835482781539,0.999102935255169,1.03703046372098,1.15085978232953,0.999097688796627,0.822988829666849,0.729709290031575,8537.76235300378,131.751298897909,NA,64.7871854729292,-0.139239792779187,0.726121744491626,0.320270219151351,NA,-0.139239792779187,NA,FALSE,TRUE,TRUE,TRUE,6,779,3,0.731405525966626,0.2751,0.535279041916168
"(E.F.G) complex","SNRPE",0.998436795780268,0.999785480779793,0.971542273940313,0.953820469490512,0.944450093686902,0.843418879500321,0.616778517161612,0.532535056626086,0.41969010177158,0.356051174370778,577.414508919429,9.56925183681253,62.2067615189629,57.8819255153392,-0.0361948470079712,0.124770548188452,0.99519154814556,0,-0.0361948470079712,NA,TRUE,TRUE,TRUE,TRUE,6,350,3,0.731405525966626,0.2751,0.535279041916168
"(E.F.G) complex","SNRPF",0.998436795780268,1.01143110292263,1.22121162985518,0.921398169650651,0.963873123588019,1.05600293837598,0.883635463160515,0.941244267310093,0.801313263581247,0.744334436144938,866.073937981015,11.8394430562531,NA,NA,NA,0,0.572167192142563,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,7,900,3,0.731405525966626,0.2751,0.535279041916168
"12S U11 snRNP","SNRPD2",0.998436795780268,1.03534132531203,0.866482894599259,1.02377974472903,1.12424378771544,1.42622875732095,1.20637023112508,1.26115473725333,0.790932155033366,0.574273196962192,15000,230.37596254604,NA,65.106054289824,-0.377177605431746,0.573626608460213,0.396847226970532,NA,-0.377177605431746,NA,FALSE,TRUE,TRUE,TRUE,12,1120,10,1.55281015209039,0.8429,0.908599335548173
"12S U11 snRNP","SNRPD1",0.998436795780268,0.976779305727533,0.749092590368917,0.898221586793622,1.0442122314189,0.79577584162988,1.08587375068409,0.712093449150781,0.616168421336194,0.472743365561606,4176.77681444845,67.6308755064966,NA,61.7045023174723,-0.128091579441146,0.532531556119977,0.62675182128418,NA,-0.128091579441146,NA,FALSE,TRUE,TRUE,TRUE,5,320,10,1.55281015209039,0.8429,0.908599335548173
"12S U11 snRNP","SNRPG",0.998436795780268,1.01731901044021,1.43449153801994,1.00835482781539,0.999102935255169,1.03703046372098,1.15085978232953,0.999097688796627,0.822988829666849,0.729709290031575,8537.76235300378,131.751298897909,NA,64.7871854729292,-0.139239792779187,0.726121744491626,0.320270219151351,NA,-0.139239792779187,NA,FALSE,TRUE,TRUE,TRUE,6,779,10,1.55281015209039,0.8429,0.908599335548173
"12S U11 snRNP","TOE1",0.998436795780268,1.00380078431382,0.983208897450323,0.853849894174993,0.690883169710442,0.632342008648485,0.382384810728179,0.437700105265681,0.314774131929717,0.282342721552344,587.163295361823,11.4939171175882,54.8780606468911,49.611747204837,-0.0420558297487739,0.274096319516467,0.973427573836243,0,-0.0420558297487739,NA,TRUE,TRUE,TRUE,TRUE,1,10,10,1.55281015209039,0.8429,0.908599335548173
"12S U11 snRNP","SRSF7",0.998436795780268,0.854681958790836,0.862768735018848,0.928848509004511,0.957328680471248,1.17016412466162,0.626929328304887,0.52346592405538,0.522851866466387,0.564169281533942,14392.7331136209,250,NA,57.567242824511,-0.502858604182875,0.536829022475467,0.8340698755142,NA,-0.502858604182875,NA,FALSE,TRUE,TRUE,TRUE,3,50,10,1.55281015209039,0.8429,0.908599335548173
"12S U11 snRNP","SNRPF",0.998436795780268,1.01143110292263,1.22121162985518,0.921398169650651,0.963873123588019,1.05600293837598,0.883635463160515,0.941244267310093,0.801313263581247,0.744334436144938,866.073937981015,11.8394430562531,NA,NA,NA,0,0.572167192142563,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,7,900,10,1.55281015209039,0.8429,0.908599335548173
"12S U11 snRNP","SNRPD3",0.998436795780268,1.03535165780722,1.0446400169745,1.02229129479876,1.1128992121043,1.45571193944668,1.46854924000863,1.42053044051364,0.98127547371158,0.717426884688327,15000,227.746622441855,NA,65.8575883992211,-0.249412288982931,0.71150936555689,-0.143419680234142,NA,-0.249412288982931,NA,FALSE,TRUE,TRUE,TRUE,5,500,10,1.55281015209039,0.8429,0.908599335548173
"12S U11 snRNP","SNRPB",0.998436795780268,1.08364794740879,1.23947333276637,1.03346322621592,1.09581647880068,1.60950767327925,1.25519235054437,1.45270124656009,0.895975830706515,0.683344880456597,15000,229.695160762407,NA,65.298999072911,-0.279298084538721,0.682398465134616,-0.109185957319091,NA,-0.279298084538721,NA,FALSE,TRUE,TRUE,TRUE,9,728,10,1.55281015209039,0.8429,0.908599335548173
"12S U11 snRNP","SNRPE",0.998436795780268,0.999785480779793,0.971542273940313,0.953820469490512,0.944450093686902,0.843418879500321,0.616778517161612,0.532535056626086,0.41969010177158,0.356051174370778,577.414508919429,9.56925183681253,62.2067615189629,57.8819255153392,-0.0361948470079712,0.124770548188452,0.99519154814556,0,-0.0361948470079712,NA,TRUE,TRUE,TRUE,TRUE,6,350,10,1.55281015209039,0.8429,0.908599335548173
"12S U11 snRNP","YBX1",0.998436795780268,0.955896202071355,0.911725697004338,1.05641433591427,1.10303725487774,1.90208287094878,2.07260357333334,2.89619442773919,2.80553006566109,2.7462238276335,12140.1446968079,250,NA,48.5574715945254,0.643567287248399,1.5,0.100198188881255,NA,0.643567287248399,NA,FALSE,TRUE,TRUE,TRUE,15,1322,10,1.55281015209039,0.8429,0.908599335548173
"17S U2 snRNP","SRSF1",0.998436795780268,1.02234276804906,1.04708369680674,1.06035324369783,1.03648772621631,1.64007269561361,0.733910047009595,0.706526783318373,0.782228307353024,0.755701508579549,6483.32937231092,115.923890102105,NA,55.9108280926961,-0.132942009948949,0.743524912656406,0.378259497748652,NA,-0.132942009948949,NA,FALSE,TRUE,TRUE,TRUE,7,140,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","HSPD1",0.998436795780268,0.917358747135376,0.867428200865391,1.02751415832334,0.883508656404693,0.890960768568618,0.559992360024635,0.366751515864767,0.292592446932065,0.254272315577966,772.023452527475,13.2637144139815,59.360326330683,56.9303288271552,-0.0516311854244624,0.113702313122383,0.962167264374841,0,-0.0516311854244624,NA,TRUE,TRUE,TRUE,TRUE,43,3466,32,1.0306172012129,0.2527,0.5074
"17S U2 snRNP","SF3B4",0.998436795780268,1.06807364930766,0.924924465937519,1.04817680639194,1.11293310473561,1.58217742332973,0.907339318618945,0.662356960149842,0.762308355280759,0.679082949268573,14521.2834079078,250,NA,58.0814167006406,-0.321478240204721,0.701249414958313,0.421760131289788,NA,-0.321478240204721,NA,FALSE,TRUE,TRUE,TRUE,3,70,32,1.0306172012129,0.2527,0.5074
